"","groups.SCFAs","groups.groups"
"Inulin",28.8954537120303,"a"
"Yeast B-glucans (YBG-Wellmune)",28.2049743069737,"a"
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",26.1352324667027,"ab"
"AXOS",25.4899276464667,"ab"
"Super B-glucan (SBG)",25.0962050492105,"ab"
"Agrifiber",22.1399460255405,"b"
"OBG 28% (OatWell Bran)",13.7497652416829,"c"
"lantamanen OBG-29% GF",10.6048735680217,"c"
"Gingest",10.4276872174783,"c"
"Resistant starch postbiotic candidate 1",9.75767487034884,"c"
"Carrot juice pro vit A",5.02013612133333,"d"
"Resistant starch postbiotic candidate 2",1.81337177397561,"d"
"Acerola green + OBG 28%",1.31949579035714,"d"
"Red Acerola 20% Vit C",1.01382998091489,"d"
"Green Acerola 34% Vit C",0.984700240227273,"d"
"Ascorbic acid (Vit c)",0.1025492035,"d"
"Acerola full spectrum",0.0542883038695652,"d"
"Acerola red 20% vit C",0.0520698020222222,"d"
"Carrot juice + Green Acerola",0.0484434550227273,"d"
